geoid,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_li_count,lowaccess_kids_count,lowaccess_seniors_count
1400000US06037530204,6037530204,2015,3682,0,0,0,0
1400000US06037530301,6037530301,2015,2168,0,0,0,0
1400000US06037530302,6037530302,2015,6556,0,0,0,0
1400000US06037530400,6037530400,2015,3683,0,0,0,0
1400000US06037530500,6037530500,2015,4567,0,0,0,0
1400000US06037530603,6037530603,2015,5016,2339,1341,657,246
1400000US06037530700,6037530700,2015,2213,1025,588,278,79
1400000US06037530801,6037530801,2015,6325,0,0,0,0
1400000US06037530802,6037530802,2015,3664,0,0,0,0
1400000US06037530901,6037530901,2015,4080,0,0,0,0
1400000US06037530902,6037530902,2015,4160,0,0,0,0
1400000US06037531000,6037531000,2015,5628,0,0,0,0
1400000US06037531101,6037531101,2015,5089,0,0,0,0
1400000US06037531102,6037531102,2015,3547,0,0,0,0
1400000US06037531201,6037531201,2015,5333,0,0,0,0
1400000US06037531202,6037531202,2015,4747,0,0,0,0
1400000US06037531301,6037531301,2015,5601,0,0,0,0
1400000US06037531302,6037531302,2015,6707,354,159,125,24
1400000US06037531502,6037531502,2015,3273,0,0,0,0
1400000US06037531503,6037531503,2015,3115,0,0,0,0
1400000US06037531504,6037531504,2015,4414,0,0,0,0
1400000US06037531602,6037531602,2015,4494,0,0,0,0
1400000US06037531603,6037531603,2015,3568,0,0,0,0
1400000US06037531604,6037531604,2015,3580,0,0,0,0
1400000US06037531701,6037531701,2015,5718,0,0,0,0
1400000US06037531702,6037531702,2015,4754,0,0,0,0
1400000US06037531800,6037531800,2015,5066,0,0,0,0
1400000US06037531901,6037531901,2015,6499,0,0,0,0
1400000US06037531902,6037531902,2015,4075,0,0,0,0
1400000US06037532001,6037532001,2015,3415,3,2,1,0
1400000US06037532002,6037532002,2015,3151,206,115,73,9
1400000US06037532101,6037532101,2015,6660,0,0,0,0
1400000US06037532102,6037532102,2015,3574,5,2,2,0
1400000US06037532200,6037532200,2015,6836,4503,2689,1577,233
1400000US06037532302,6037532302,2015,4690,2302,1125,713,232
1400000US06037532303,6037532303,2015,4464,1807,633,534,181
1400000US06037532304,6037532304,2015,5156,2923,1597,839,228
1400000US06037532500,6037532500,2015,4077,0,0,0,0
1400000US06037532605,6037532605,2015,3715,0,0,0,0
1400000US06037532606,6037532606,2015,4284,0,0,0,0
1400000US06037532607,6037532607,2015,6858,0,0,0,0
1400000US06037532700,6037532700,2015,2257,0,0,0,0
1400000US06037532800,6037532800,2015,4409,0,0,0,0
1400000US06037532900,6037532900,2015,6681,0,0,0,0
1400000US06037533001,6037533001,2015,4527,0,0,0,0
1400000US06037533002,6037533002,2015,1672,0,0,0,0
1400000US06037533103,6037533103,2015,4727,0,0,0,0
1400000US06037533104,6037533104,2015,4356,0,0,0,0
1400000US06037533105,6037533105,2015,2580,0,0,0,0
1400000US06037533108,6037533108,2015,5388,0,0,0,0
1400000US06037533201,6037533201,2015,2805,0,0,0,0
1400000US06037533204,6037533204,2015,4572,0,0,0,0
1400000US06037533300,6037533300,2015,3558,0,0,0,0
1400000US06037533401,6037533401,2015,5001,0,0,0,0
1400000US06037533402,6037533402,2015,4105,0,0,0,0
1400000US06037533403,6037533403,2015,2953,0,0,0,0
1400000US06037533501,6037533501,2015,3090,0,0,0,0
1400000US06037533504,6037533504,2015,4063,0,0,0,0
